acetic,citric,suger,salt,SO2free,SO2tota,pH,sulfate,alcohol,quality
0.120,0.290,10.300,0.039,41.000,98.000,3.190,0.380,9.800,0.800
0.270,0.260,3.500,0.071,26.000,69.000,3.100,0.380,11.500,0.600
0.200,0.400,1.300,0.047,23.000,92.000,3.200,0.450,10.000,0.600
0.220,0.320,2.200,0.028,36.000,92.000,3.270,0.590,11.900,0.700
0.170,0.420,10.400,0.038,85.000,182.000,3.040,0.440,8.900,0.600
0.200,0.370,16.950,0.048,43.000,190.000,3.030,0.420,9.200,0.600
0.080,0.490,1.300,0.050,18.000,148.000,3.460,0.440,10.200,0.600
0.330,0.430,9.200,0.046,22.000,126.000,3.380,0.470,9.300,0.500
0.655,0.200,10.200,0.071,28.000,212.000,2.960,0.580,9.200,0.600
0.600,0.000,1.300,0.044,72.000,197.000,3.560,0.430,10.900,0.500
0.550,0.130,1.700,0.073,21.000,165.000,2.970,0.580,9.200,0.600
0.290,0.270,1.700,0.024,13.000,76.000,3.210,0.510,12.600,0.700
0.220,0.300,10.600,0.070,67.000,194.000,2.890,0.420,9.000,0.600
0.235,0.340,1.900,0.036,4.000,117.000,3.400,0.440,12.200,0.500
0.230,0.170,1.300,0.061,14.000,100.000,3.070,0.550,9.500,0.500
0.300,0.470,1.400,0.049,50.000,187.000,3.190,0.450,9.500,0.500
0.200,0.360,2.500,0.028,22.000,157.000,3.480,0.490,10.600,0.600
0.250,0.310,12.400,0.059,52.000,181.000,3.510,0.470,9.800,0.600
0.230,0.260,8.100,0.054,47.000,181.000,3.120,0.490,9.400,0.500
0.555,0.260,4.500,0.053,17.000,126.000,3.240,0.460,9.100,0.500
0.230,0.310,10.700,0.038,59.000,186.000,3.120,0.550,9.500,0.600
0.410,0.240,5.400,0.035,33.000,115.000,3.120,0.440,12.893,0.700
0.270,0.310,5.300,0.137,35.000,163.000,3.200,0.380,9.300,0.500
0.280,0.430,7.600,0.030,30.000,110.000,3.080,0.590,12.500,0.800
0.210,0.280,8.600,0.045,37.000,221.000,3.250,0.540,10.400,0.600
0.440,0.470,5.450,0.014,44.000,137.000,3.130,0.320,13.000,0.800
0.210,0.600,2.100,0.046,47.000,165.000,3.050,0.540,10.100,0.700
0.300,0.290,16.850,0.054,23.000,135.000,3.160,0.380,9.000,0.600
0.230,0.290,1.800,0.047,47.000,187.000,3.130,0.500,10.200,0.600
0.250,0.320,11.300,0.038,69.000,192.000,3.140,0.500,10.200,0.600
0.310,0.230,3.300,0.052,34.000,113.000,3.160,0.480,8.400,0.500
0.340,0.300,4.700,0.029,34.000,148.000,3.360,0.490,12.300,0.700
0.530,0.240,0.800,0.029,29.000,86.000,3.160,0.320,9.100,0.400
0.310,0.400,6.400,0.039,39.000,191.000,3.140,0.520,9.800,0.500
0.360,0.350,8.600,0.038,37.000,125.000,3.000,0.320,12.400,0.800
0.250,0.340,1.200,0.026,31.000,93.000,2.930,0.370,11.300,0.700
0.150,0.290,16.400,0.058,45.000,110.000,3.150,0.370,9.700,0.600
0.270,0.280,7.800,0.038,26.000,89.000,3.240,0.340,12.500,0.600
0.240,0.210,2.200,0.039,31.000,100.000,3.690,0.620,11.700,0.600
0.140,0.490,5.900,0.053,22.000,118.000,3.360,0.360,9.400,0.600
0.260,0.340,6.400,0.050,36.000,163.000,3.190,0.700,11.500,0.600
0.330,0.420,6.400,0.058,27.000,151.000,3.160,0.440,9.600,0.500
0.180,0.260,1.300,0.041,20.000,71.000,3.040,0.740,9.900,0.600
0.250,0.250,1.300,0.040,28.000,85.000,2.870,0.480,11.200,0.600
0.120,0.260,5.500,0.034,21.000,99.000,3.090,0.570,9.900,0.600
0.220,0.320,5.800,0.041,20.000,119.000,3.170,0.550,11.200,0.600
0.180,0.280,5.100,0.039,50.000,139.000,3.160,0.440,11.300,0.600
0.160,0.490,1.200,0.055,18.000,150.000,3.230,0.470,11.200,0.600
0.400,0.560,11.200,0.043,40.000,142.000,3.140,0.460,8.700,0.500
0.280,0.230,10.400,0.049,45.000,190.000,3.120,0.510,8.800,0.500
0.190,0.100,1.300,0.046,23.000,107.000,3.290,0.450,10.000,0.500
0.210,0.520,6.500,0.047,28.000,123.000,3.220,0.490,9.900,0.600
0.240,0.490,9.400,0.048,50.000,149.000,3.170,0.590,10.500,0.700
0.300,0.420,1.100,0.036,19.000,113.000,3.100,0.460,12.600,0.700
0.150,0.260,5.550,0.051,51.000,139.000,3.470,0.500,11.000,0.600
0.230,0.380,8.300,0.047,47.000,162.000,3.340,0.520,10.500,0.700
0.160,0.370,1.100,0.031,37.000,97.000,3.400,0.580,10.500,0.600
0.280,0.260,1.900,0.049,12.000,86.000,3.150,0.380,9.400,0.500
0.270,0.460,18.750,0.052,45.000,255.000,3.040,0.520,8.900,0.500
0.150,0.320,1.300,0.036,19.000,76.000,3.180,0.410,12.300,0.600
0.200,0.270,3.200,0.047,16.000,93.000,3.440,0.530,10.100,0.700
0.160,0.310,5.300,0.043,42.000,157.000,3.350,0.470,10.500,0.500
0.240,0.320,9.000,0.031,41.000,134.000,3.250,0.260,12.300,0.700
0.335,0.200,1.700,0.033,17.000,74.000,3.340,0.480,12.300,0.600
0.260,0.320,3.800,0.029,48.000,180.000,3.150,0.340,12.000,0.600
0.330,0.280,5.700,0.033,39.000,204.000,3.170,0.640,12.500,0.600
0.270,0.220,17.800,0.034,16.000,116.000,3.070,0.530,9.200,0.500
0.370,0.260,9.600,0.050,33.000,134.000,3.130,0.460,10.400,0.500
0.265,0.280,6.900,0.036,46.000,150.000,3.360,0.440,10.800,0.700
0.140,0.340,1.100,0.042,7.000,47.000,3.470,0.400,10.200,0.600
0.115,0.290,1.950,0.038,73.000,166.000,3.120,0.250,12.900,0.700
0.250,0.190,2.400,0.049,42.000,166.000,3.250,0.430,10.400,0.600
0.310,0.480,14.200,0.042,62.000,204.000,3.060,0.590,9.400,0.500
0.190,0.390,1.200,0.036,32.000,85.000,3.160,0.500,10.500,0.500
0.350,0.440,6.500,0.056,31.000,161.000,3.140,0.440,9.500,0.500
0.140,0.420,1.200,0.050,51.000,129.000,3.270,0.690,11.100,0.700
0.225,0.400,4.200,0.030,29.000,118.000,3.570,0.360,12.800,0.800
0.200,0.350,8.800,0.037,31.000,103.000,3.130,0.490,11.000,0.600
0.280,0.330,14.600,0.043,47.000,168.000,3.340,0.670,8.800,0.600
0.280,0.270,15.500,0.036,31.000,134.000,3.190,0.440,13.000,0.700
0.340,0.280,11.000,0.040,31.000,117.000,3.270,0.290,9.200,0.600
0.380,0.270,7.500,0.041,24.000,160.000,3.170,0.430,10.000,0.500
0.230,0.370,1.300,0.042,39.000,117.000,2.990,0.360,10.000,0.500
0.320,0.300,1.300,0.025,18.000,112.000,3.070,0.640,13.300,0.700
0.180,0.490,1.100,0.033,28.000,81.000,3.000,0.680,10.400,0.700
0.250,0.230,14.900,0.039,47.000,142.000,3.140,0.350,9.700,0.600
0.260,0.260,12.700,0.036,49.000,214.000,3.410,0.500,10.000,0.600
0.190,0.330,1.800,0.035,42.000,148.000,3.150,0.360,10.200,0.500
0.250,0.320,1.500,0.047,27.000,132.000,3.260,0.440,10.500,0.500
0.370,0.670,1.500,0.175,16.000,98.000,3.060,0.560,10.300,0.600
0.210,0.270,1.700,0.038,41.000,150.000,3.490,0.710,10.500,0.700
0.240,0.350,1.000,0.032,42.000,104.000,3.160,0.370,11.700,0.700
0.280,0.410,2.000,0.044,50.000,152.000,3.450,0.490,10.700,0.800
0.230,0.310,4.500,0.046,42.000,124.000,3.310,0.640,10.800,0.600
0.210,0.340,16.050,0.040,56.000,142.000,3.110,0.380,10.600,0.500
0.300,0.270,4.400,0.055,17.000,135.000,3.230,0.440,12.200,0.600
0.210,0.290,1.600,0.039,24.000,92.000,3.270,0.500,11.200,0.600
0.170,0.210,1.600,0.036,24.000,119.000,3.180,0.520,10.100,0.600
0.440,0.330,1.200,0.049,12.000,117.000,3.460,0.440,11.500,0.500
0.310,0.230,2.000,0.069,29.000,134.000,3.110,0.620,9.800,0.500
0.200,0.420,14.000,0.038,83.000,160.000,3.160,0.500,9.400,0.600
0.290,0.160,7.900,0.044,48.000,197.000,3.210,0.360,9.400,0.500
0.230,0.360,7.100,0.028,31.000,104.000,3.350,0.470,12.100,0.800
0.240,0.270,1.400,0.057,33.000,152.000,3.220,0.560,9.500,0.600
0.360,0.530,12.900,0.049,63.000,139.000,2.940,0.450,9.100,0.500
0.330,0.360,7.400,0.037,36.000,156.000,3.190,0.540,10.600,0.600
0.350,0.740,1.000,0.044,18.000,132.000,3.130,0.550,10.200,0.500
0.220,0.310,1.400,0.053,34.000,114.000,3.390,0.770,10.600,0.600
0.240,0.300,1.200,0.037,11.000,95.000,2.960,0.360,12.500,0.600
0.310,0.170,1.000,0.042,21.000,144.000,3.130,0.400,9.600,0.500
0.240,0.350,6.400,0.048,44.000,172.000,3.290,0.550,10.500,0.700
0.240,0.260,1.700,0.033,61.000,134.000,3.190,0.810,11.900,0.700
0.190,0.350,6.900,0.045,51.000,125.000,3.100,0.440,10.700,0.700
0.290,0.390,6.700,0.036,6.000,117.000,3.120,0.420,10.700,0.500
0.320,0.300,1.000,0.049,22.000,113.000,3.240,0.610,10.200,0.500
0.240,0.310,13.100,0.050,26.000,180.000,3.050,0.530,9.100,0.600
0.250,0.500,7.600,0.047,54.000,184.000,3.170,0.450,9.200,0.500
0.240,0.300,1.500,0.045,22.000,61.000,3.310,0.540,10.400,0.500
0.225,0.240,9.800,0.054,59.000,140.000,3.170,0.390,10.200,0.600
0.250,0.450,7.800,0.048,52.000,188.000,3.200,0.530,9.100,0.500
0.420,0.380,8.100,0.061,49.000,144.000,3.400,0.580,11.000,0.600
0.540,0.090,5.100,0.038,52.000,97.000,3.410,0.400,12.200,0.700
0.220,0.350,6.500,0.029,26.000,87.000,3.290,0.440,12.500,0.700
0.170,0.340,2.000,0.040,38.000,111.000,3.240,0.450,12.900,0.600
0.290,0.220,3.400,0.035,40.000,122.000,3.090,0.470,12.300,0.600
0.310,0.360,8.200,0.028,29.000,142.000,3.010,0.340,13.000,0.700
0.560,0.220,8.900,0.034,27.000,133.000,3.200,0.510,9.100,0.500
0.300,0.490,11.200,0.058,68.000,215.000,3.190,0.600,9.400,0.600
0.230,0.320,9.200,0.038,54.000,191.000,3.040,0.560,9.700,0.600
0.615,0.100,1.400,0.068,25.000,154.000,3.200,0.480,9.700,0.400
0.260,0.190,3.400,0.049,47.000,172.000,3.140,0.430,10.400,0.600
0.460,0.460,1.400,0.040,31.000,169.000,3.130,0.470,8.800,0.500
0.300,0.220,5.250,0.053,33.000,180.000,3.130,0.450,11.600,0.600
0.295,0.260,1.100,0.035,40.000,102.000,3.470,0.560,10.600,0.600
0.300,0.280,2.200,0.042,21.000,177.000,3.200,0.570,11.400,0.500
0.200,0.280,1.600,0.028,13.000,168.000,3.170,1.060,11.500,0.600
0.230,0.360,16.300,0.038,43.000,133.000,3.260,0.410,8.800,0.500
0.190,0.300,1.400,0.057,33.000,135.000,3.120,0.500,9.600,0.600
0.260,0.330,8.100,0.024,47.000,202.000,3.130,0.460,10.800,0.600
0.570,0.290,2.200,0.040,15.000,77.000,3.320,0.740,10.200,0.500
0.240,0.290,13.700,0.035,53.000,134.000,3.170,0.380,10.600,0.600
0.240,0.190,7.700,0.045,53.000,176.000,3.170,0.380,9.500,0.500
0.310,0.280,1.400,0.035,28.000,107.000,3.000,0.400,13.200,0.600
0.190,0.430,10.900,0.045,53.000,154.000,3.520,0.770,10.400,0.600
0.250,0.300,5.500,0.038,15.000,129.000,3.140,0.490,9.600,0.600
0.160,0.320,8.750,0.038,38.000,118.000,3.190,0.410,10.700,0.500
0.210,0.680,10.900,0.045,38.000,133.000,3.000,0.360,8.700,0.500
0.410,0.640,11.800,0.065,65.000,225.000,3.120,0.510,8.900,0.500
0.320,0.310,6.400,0.031,38.000,115.000,3.380,0.580,12.200,0.700
0.260,0.260,10.800,0.039,37.000,184.000,3.470,0.580,10.300,0.700
0.170,0.270,1.400,0.032,39.000,149.000,3.400,0.520,10.500,0.500
0.230,0.350,6.900,0.030,45.000,116.000,2.800,0.540,11.000,0.600
0.310,0.370,6.200,0.052,13.000,164.000,3.240,0.390,8.800,0.400
0.210,0.340,1.100,0.046,25.000,80.000,3.250,0.400,11.300,0.600
0.320,0.450,4.900,0.028,25.000,191.000,3.510,0.490,11.500,0.700
0.270,0.310,17.700,0.051,33.000,173.000,3.090,0.640,10.200,0.500
0.340,0.270,6.200,0.059,23.000,136.000,3.300,0.490,10.100,0.600
0.440,0.270,8.400,0.057,60.000,160.000,3.160,0.360,11.800,0.600
0.220,0.330,6.700,0.036,45.000,138.000,3.200,0.680,11.400,0.600
0.320,0.300,1.900,0.033,41.000,142.000,3.290,0.420,12.800,0.700
0.220,0.340,5.000,0.032,36.000,93.000,3.270,0.360,13.500,0.700
0.320,0.330,10.400,0.031,47.000,194.000,3.070,0.580,9.600,0.600
0.690,0.090,7.600,0.044,34.000,144.000,3.260,0.380,10.100,0.600
0.220,0.500,13.700,0.049,56.000,189.000,3.240,0.660,9.000,0.600
0.270,0.240,3.800,0.058,19.000,115.000,3.150,0.450,8.900,0.500
0.330,0.420,1.150,0.033,18.000,96.000,3.200,0.320,12.400,0.300
0.310,0.300,8.000,0.028,33.000,122.000,3.130,0.630,12.600,0.700
0.330,0.260,5.100,0.051,16.000,119.000,3.150,0.410,9.200,0.500
0.280,0.360,1.800,0.041,38.000,90.000,3.270,0.980,11.900,0.700
0.310,0.280,4.100,0.030,22.000,86.000,3.310,0.380,11.700,0.700
0.470,0.340,8.900,0.043,31.000,172.000,3.220,0.600,9.200,0.500
0.190,0.240,6.300,0.054,34.000,231.000,3.360,0.540,10.000,0.600
0.260,0.420,1.700,0.049,41.000,122.000,3.470,0.480,10.500,0.800
0.330,0.340,1.400,0.056,14.000,171.000,3.130,0.470,9.700,0.500
0.105,0.320,12.400,0.051,34.000,106.000,3.540,0.450,9.200,0.600
0.430,0.270,1.100,0.054,5.000,110.000,3.240,0.520,9.100,0.400
0.240,0.280,1.100,0.034,26.000,83.000,3.250,0.330,12.300,0.600
0.210,0.340,8.500,0.033,31.000,253.000,3.220,0.560,10.500,0.600
0.445,0.260,1.400,0.027,23.000,109.000,3.300,0.360,10.500,0.600
0.250,0.390,2.100,0.036,30.000,124.000,3.280,0.430,12.200,0.800
0.160,0.320,12.500,0.035,18.000,156.000,2.880,0.360,9.000,0.600
0.340,0.240,5.400,0.060,23.000,126.000,3.250,0.440,9.000,0.700
0.460,0.210,4.000,0.034,12.000,88.000,3.260,0.540,13.000,0.600
0.400,0.280,6.500,0.037,26.000,97.000,3.160,0.580,12.600,0.700
0.360,0.140,8.900,0.036,38.000,155.000,3.270,0.500,9.400,0.500
0.440,0.180,7.700,0.096,28.000,210.000,3.560,0.720,9.200,0.500
0.190,0.330,4.900,0.047,42.000,130.000,3.120,0.560,11.000,0.600
0.260,0.490,1.500,0.052,34.000,134.000,2.990,0.610,9.800,0.600
0.180,0.380,6.500,0.039,20.000,110.000,3.100,0.420,10.500,0.500
0.180,0.410,14.200,0.039,47.000,129.000,3.280,0.720,10.300,0.700
0.280,0.270,4.700,0.030,56.000,140.000,3.160,0.420,12.500,0.800
0.345,0.340,1.000,0.068,32.000,143.000,3.240,0.400,10.100,0.500
0.220,0.330,1.200,0.031,38.000,95.000,2.830,0.310,10.300,0.500
0.180,0.280,10.200,0.039,29.000,115.000,3.110,0.450,10.900,0.700
0.230,0.320,13.400,0.044,35.000,169.000,3.120,0.470,8.800,0.700
0.270,0.250,1.200,0.033,36.000,111.000,3.160,0.370,12.400,0.600
0.340,0.860,1.400,0.174,36.000,99.000,2.920,0.500,9.300,0.500
0.340,0.210,5.000,0.042,17.000,133.000,3.020,0.530,9.400,0.500
0.260,0.560,15.400,0.053,32.000,141.000,3.110,0.490,9.300,0.500
0.430,0.340,7.600,0.045,25.000,118.000,3.030,0.370,11.000,0.600
0.340,0.420,1.100,0.033,17.000,171.000,3.120,0.530,11.300,0.600
0.240,0.480,6.800,0.047,13.000,134.000,3.230,0.700,10.000,0.500
0.965,0.600,65.800,0.074,8.000,160.000,3.390,0.690,11.700,0.600
0.410,0.220,7.100,0.050,44.000,154.000,3.300,0.400,10.500,0.500
0.210,0.400,1.600,0.032,35.000,110.000,3.020,0.600,12.900,0.700
0.220,0.310,13.900,0.040,57.000,135.000,3.210,0.380,10.700,0.500
0.330,0.260,2.600,0.040,29.000,115.000,3.070,0.520,11.800,0.700
0.380,0.290,13.600,0.041,30.000,137.000,3.020,0.960,12.100,0.600
0.230,0.340,1.300,0.025,23.000,111.000,3.360,0.370,12.700,0.600
0.640,0.470,14.150,0.168,42.000,185.000,2.900,0.490,9.300,0.500
0.220,0.290,7.400,0.028,16.000,87.000,3.150,0.560,10.900,0.700
0.145,0.490,5.400,0.048,54.000,164.000,3.560,0.440,10.800,0.600
0.250,0.410,3.700,0.042,37.000,149.000,3.360,0.450,10.000,0.600
0.260,0.330,4.350,0.040,15.000,80.000,3.290,0.500,12.700,0.600
0.260,0.410,9.200,0.042,41.000,162.000,3.100,0.380,12.000,0.700
0.230,0.250,11.300,0.031,13.000,96.000,3.110,0.400,10.800,0.500
0.500,0.200,2.400,0.059,19.000,112.000,3.180,0.400,9.200,0.600
0.670,0.480,12.600,0.052,57.000,222.000,3.170,0.520,9.300,0.600
0.170,0.270,1.500,0.037,20.000,98.000,3.460,0.420,11.000,0.700
0.200,0.280,9.100,0.047,29.000,95.000,3.160,0.470,9.800,0.700
0.510,0.250,1.700,0.048,39.000,177.000,3.280,0.570,10.600,0.500
0.310,0.310,0.950,0.021,52.000,148.000,2.930,0.320,11.500,0.500
0.190,0.990,1.200,0.122,45.000,129.000,3.090,0.310,8.700,0.600
0.200,0.340,1.200,0.040,29.000,118.000,3.140,0.410,10.600,0.600
0.310,0.240,1.600,0.032,10.000,67.000,3.080,0.470,10.500,0.500
0.200,0.280,1.100,0.039,24.000,78.000,3.360,0.470,12.100,0.600
0.270,0.250,5.800,0.038,52.000,155.000,3.280,0.380,9.400,0.600
0.260,0.300,1.000,0.036,38.000,114.000,3.580,0.480,9.400,0.500
0.170,0.420,15.100,0.033,28.000,124.000,2.870,0.470,9.500,0.500
0.450,0.400,1.500,0.067,17.000,100.000,3.270,0.570,10.100,0.600
0.150,0.280,3.700,0.045,57.000,151.000,3.220,0.270,11.200,0.600
0.255,0.650,1.200,0.079,17.000,137.000,3.200,0.420,9.400,0.500
0.300,0.740,13.500,0.039,46.000,165.000,3.020,0.400,8.700,0.500
0.330,0.220,4.500,0.031,10.000,73.000,2.970,0.520,12.200,0.700
0.250,0.290,5.300,0.031,33.000,117.000,3.060,0.320,11.800,0.700
0.230,0.390,1.600,0.032,12.000,65.000,3.250,0.400,12.700,0.700
0.485,0.290,4.100,0.026,19.000,101.000,3.010,0.380,12.400,0.500
0.110,0.340,8.800,0.043,41.000,113.000,3.420,0.400,9.300,0.700
0.210,0.360,18.100,0.046,32.000,133.000,3.270,0.480,8.800,0.500
0.170,0.320,1.500,0.050,17.000,101.000,3.140,0.580,9.500,0.500
0.230,0.500,10.400,0.043,61.000,132.000,2.860,0.460,9.100,0.600
0.230,0.400,4.200,0.035,17.000,109.000,3.140,0.530,9.700,0.500
0.240,0.340,1.100,0.034,49.000,158.000,3.320,0.320,13.100,0.700
0.370,0.470,6.500,0.061,23.000,150.000,3.140,0.450,9.600,0.600
0.260,0.320,1.200,0.040,26.000,117.000,3.210,0.560,10.800,0.500
0.320,0.320,1.500,0.037,12.000,76.000,3.300,0.460,12.300,0.600
0.160,0.410,1.700,0.026,29.000,140.000,3.020,0.780,12.500,0.600
0.280,0.240,17.800,0.047,42.000,111.000,3.100,0.450,8.900,0.600
0.260,0.490,2.200,0.032,31.000,113.000,3.370,0.420,12.900,0.900
0.220,0.280,10.600,0.039,32.000,117.000,3.050,0.550,11.500,0.700
0.270,0.280,1.250,0.023,3.000,89.000,2.950,0.300,11.400,0.400
0.360,0.520,11.300,0.046,8.000,110.000,3.070,0.460,9.400,0.500
0.260,0.310,7.000,0.039,37.000,175.000,3.320,0.490,11.400,0.600
0.310,0.490,7.700,0.050,52.000,220.000,3.120,0.450,8.800,0.500
0.200,0.270,1.400,0.031,12.000,77.000,3.250,0.360,10.900,0.700
0.270,0.280,0.800,0.024,29.000,128.000,3.010,0.350,12.400,0.600
0.250,0.570,1.000,0.062,21.000,122.000,3.000,0.400,9.500,0.500
0.200,0.180,10.600,0.045,57.000,159.000,3.090,0.540,9.200,0.500
0.220,0.250,17.100,0.050,44.000,138.000,3.300,0.370,8.800,0.500
0.310,0.490,13.400,0.062,50.000,191.000,3.220,0.530,9.000,0.400
0.180,0.280,1.100,0.027,32.000,112.000,3.150,0.450,11.000,0.700
0.340,0.440,6.500,0.027,47.000,126.000,2.960,0.370,12.500,0.600
0.340,0.310,12.000,0.053,46.000,238.000,3.160,0.480,8.600,0.500
0.390,0.310,5.300,0.169,32.000,162.000,3.200,0.480,9.400,0.500
0.220,0.420,1.900,0.052,10.000,87.000,3.300,0.490,11.800,0.600
0.320,0.260,12.300,0.044,24.000,205.000,3.110,0.580,9.900,0.500
0.380,0.260,3.500,0.035,38.000,111.000,3.180,0.470,13.600,0.700
0.330,0.440,7.600,0.050,40.000,227.000,3.120,0.520,9.000,0.500
0.135,0.300,4.600,0.042,19.000,101.000,3.310,0.420,9.300,0.600
0.340,0.300,14.900,0.037,70.000,169.000,3.250,0.370,10.400,0.600
0.310,0.240,3.300,0.041,25.000,143.000,3.310,0.440,11.300,0.600
0.310,0.270,8.800,0.021,57.000,156.000,3.080,0.380,11.000,0.700
0.200,0.150,6.600,0.046,26.000,113.000,2.990,0.580,9.900,0.600
0.310,0.230,3.300,0.052,34.000,113.000,3.160,0.480,8.400,0.500
0.190,0.300,12.800,0.053,48.500,229.000,3.140,0.490,9.100,0.700
0.330,0.220,1.600,0.027,18.000,89.000,3.510,0.380,12.500,0.700
0.340,0.490,9.000,0.033,39.000,180.000,3.130,0.380,12.300,0.800
0.200,0.300,1.400,0.025,17.000,76.000,3.110,0.440,11.000,0.600
0.320,0.480,8.000,0.026,18.000,88.000,3.220,0.790,12.700,0.400
0.210,0.280,5.900,0.047,29.000,101.000,3.150,0.400,11.000,0.600
0.210,0.240,1.800,0.021,17.000,80.000,3.150,0.460,12.300,0.700
0.150,0.280,14.700,0.051,29.000,149.000,2.960,0.390,9.000,0.700
0.190,0.270,1.600,0.027,35.000,136.000,3.380,0.540,11.000,0.700
0.360,0.250,5.700,0.015,14.000,73.000,2.820,0.590,13.200,0.600
0.300,0.280,11.450,0.041,29.000,109.000,2.980,0.300,10.900,0.600
0.300,0.340,1.200,0.048,4.000,119.000,3.180,0.340,12.100,0.600
0.280,0.470,11.200,0.040,61.000,183.000,3.120,0.510,9.500,0.600
0.330,0.240,9.800,0.041,29.000,109.000,3.290,0.470,10.100,0.600
0.250,0.510,8.000,0.047,61.000,189.000,3.220,0.490,9.200,0.500
0.280,0.320,1.700,0.038,27.000,128.000,3.200,0.620,10.200,0.600
0.350,0.290,7.300,0.044,56.000,244.000,3.360,0.550,10.000,0.600
0.300,0.320,1.700,0.032,30.000,130.000,3.280,0.410,11.200,0.700
0.350,0.530,10.100,0.053,37.000,151.000,3.070,0.400,9.400,0.500
0.460,0.180,3.300,0.054,18.000,143.000,3.120,0.510,10.800,0.600
0.190,0.490,6.600,0.036,49.000,172.000,3.200,0.270,11.500,0.600
0.120,0.280,1.400,0.037,36.000,83.000,3.330,0.420,10.900,0.700
0.300,0.450,8.000,0.038,54.000,200.000,3.180,0.480,9.500,0.500
0.180,0.290,1.700,0.035,39.000,144.000,3.490,0.500,10.500,0.600
0.340,0.280,1.800,0.041,43.000,188.000,3.130,0.370,9.600,0.600
0.340,0.300,8.400,0.051,40.000,167.000,3.480,0.620,9.700,0.500
0.300,0.340,2.700,0.044,34.000,108.000,3.360,0.530,12.800,0.800
0.150,0.400,1.200,0.030,19.000,84.000,3.190,0.960,13.000,0.600
0.240,0.240,1.800,0.047,29.000,91.000,3.300,0.430,9.900,0.600
0.300,0.270,11.600,0.028,22.000,97.000,2.960,0.380,11.700,0.600
0.270,0.300,9.200,0.018,23.000,96.000,3.080,0.290,11.000,0.600
0.480,0.310,9.400,0.046,6.000,194.000,3.070,0.610,9.400,0.500
0.180,0.360,1.300,0.036,40.000,117.000,3.270,0.950,9.500,0.700
0.140,0.380,1.000,0.041,22.000,81.000,3.030,0.540,11.400,0.600
0.210,0.260,9.250,0.034,73.000,142.000,3.050,0.370,11.400,0.600
0.250,0.260,5.200,0.024,36.000,135.000,3.160,0.720,10.700,0.700
0.200,0.370,1.650,0.025,42.000,103.000,3.110,0.450,11.400,0.500
0.210,0.240,12.100,0.044,53.000,165.000,3.250,0.390,9.500,0.500
0.340,0.200,14.900,0.060,37.000,162.000,3.130,0.450,9.000,0.400
0.240,0.230,10.300,0.032,12.000,97.000,3.130,0.400,10.700,0.600
0.360,0.240,4.600,0.039,24.000,124.000,3.270,0.340,12.600,0.700
0.260,0.390,1.100,0.040,45.000,147.000,3.320,0.580,9.600,0.800
0.250,0.360,2.100,0.034,30.000,177.000,3.250,0.400,11.900,0.800
