Cement,Water,Coarse,Fine,Strength
2.2946e+00,-5.4280e-01,-1.5163e+00,1.0151e+00,1.4719e+00
1.8051e+00,-2.0513e+00,-1.5536e+00,8.3408e-01,2.6578e-01
-2.7944e-01,-1.6625e+00,4.2645e-01,1.5742e+00,5.0244e-01
1.8627e+00,-2.2782e-02,-1.5536e+00,9.7664e-02,1.9536e+00
4.3269e-01,-3.5541e-01,-1.1689e+00,2.0376e-01,1.5289e+00
2.7913e-01,-6.3649e-01,-7.5720e-01,3.7850e-01,5.7211e-01
3.1752e-01,-1.2585e-01,-1.3349e+00,-1.0419e+00,6.2797e-01
1.3828e+00,-1.3158e+00,-1.5536e+00,1.4157e+00,8.0636e-01
1.4477e-01,2.0677e-01,1.5072e+00,-5.8355e-02,-1.0130e+00
2.9595e-02,-1.2116e-01,-1.6835e+00,3.4105e-01,4.7781e-01
8.9337e-01,-5.3811e-01,-6.0152e-01,-2.1188e-01,-8.2590e-02
-4.5220e-01,7.6427e-01,-3.3263e-01,9.8011e-01,-7.2980e-02
-1.4196e+00,4.8786e-01,-5.8480e-01,8.1785e-01,-1.3283e+00
-1.0309e+00,-7.8641e-01,4.2902e-01,2.4744e-01,1.2184e+00
9.6439e-01,1.9272e-01,1.6950e+00,1.3261e-01,-7.9796e-01
-2.8328e-01,3.2390e-01,7.1464e-01,-1.9940e-01,-1.8710e-01
-4.1093e-01,1.9272e-01,1.8777e+00,1.9502e-01,-1.5277e+00
-1.0895e+00,-2.8513e-01,4.3031e-01,-3.3794e-01,-2.3816e-01
-2.5833e-01,7.6895e-01,-6.2447e-02,1.1149e+00,-5.3067e-01
2.9595e-02,-6.2244e-01,-3.1569e-02,2.5618e-01,3.0963e-01
-1.4124e-01,-1.7270e-01,-8.1252e-01,-3.6415e-01,2.1893e-01
2.7913e-01,4.8786e-01,-3.6715e-02,9.5265e-01,-4.7181e-01
-8.3898e-01,1.9272e-01,3.2610e-01,-8.6591e-01,-1.1157e+00
5.5746e-01,7.2211e-01,-6.2447e-02,9.1423e-02,-3.6341e-02
1.1602e+00,-1.6016e+00,-3.3520e-01,9.7886e-01,3.1984e-01
-5.9520e-01,-1.0816e+00,1.3618e+00,2.6492e-01,8.9794e-02
1.9107e+00,4.8786e-01,-4.7415e-01,-6.5747e-01,4.8742e-01
2.7913e-01,4.8786e-01,-2.3850e-02,9.6014e-01,-1.5560e+00
1.3732e+00,-6.3649e-01,-1.9408e+00,-2.9550e-01,2.7119e-01
7.4941e-01,-1.2924e+00,-3.9696e-01,3.4105e-01,1.4244e+00
-7.5977e-02,8.1580e-01,-5.3848e-01,-1.4573e-01,-2.1233e-01
1.4285e-01,1.9272e-01,1.5252e+00,-5.4611e-02,-6.3398e-01
6.5343e-01,4.8786e-01,1.0697e+00,4.4091e-01,2.9341e-01
-1.1221e+00,-2.7467e-02,-1.5935e+00,9.0272e-01,-1.2424e+00
2.4865e+00,-4.0225e-01,1.9575e+00,-2.0055e+00,1.4406e+00
-6.5566e-01,-1.0394e+00,3.9815e-01,1.6242e+00,5.1805e-01
6.6303e-01,1.0032e+00,1.4747e-02,1.6534e-02,-5.0664e-01
-6.6142e-01,-1.0581e+00,1.4480e+00,3.2233e-01,1.6367e-01
-1.3160e+00,-1.6333e-01,-4.0339e-01,7.7970e-03,-5.7812e-01
-1.4196e+00,4.8786e-01,-5.8480e-01,8.1785e-01,-1.7356e+00
-7.7896e-02,1.9272e-01,5.0879e-01,-7.4110e-01,-9.6133e-01
-1.3563e+00,4.8786e-01,9.5395e-01,4.1470e-01,-1.6647e+00
7.4941e-01,-1.2924e+00,-3.9696e-01,3.4105e-01,-6.3999e-01
1.1429e+00,2.5362e-01,6.7090e-01,-3.5791e-01,4.7601e-01
-1.2277e+00,-1.6801e-01,3.7499e-01,-1.0569e+00,-6.1356e-01
-6.4511e-01,5.3268e-03,1.1958e+00,1.4634e-01,-1.0676e+00
-1.1893e+00,8.6265e-01,-1.9794e+00,-8.6966e-01,-1.6368e-01
-1.2181e+00,2.1744e+00,-1.6449e+00,-2.0180e+00,-6.8684e-01
-1.0837e+00,-2.8009e+00,1.1045e+00,8.0190e-02,-1.0785e+00
2.3138e+00,-1.6672e+00,-9.8878e-01,1.5268e+00,8.8504e-01
-6.6142e-01,-1.0581e+00,1.4480e+00,3.2233e-01,-9.7635e-01
-1.1691e+00,-2.8045e-01,2.1545e-01,1.9003e-01,-1.8050e-01
-1.1720e+00,1.9272e-01,8.7161e-01,-4.9147e-01,-1.5710e+00
-1.3563e+00,4.8786e-01,9.5395e-01,4.1470e-01,-4.5259e-01
2.0163e+00,9.0950e-01,-1.9408e+00,-9.3206e-01,-3.7390e-01
-2.7272e-01,1.9272e-01,1.7851e+00,1.3261e-01,-9.6133e-01
-2.4873e-01,4.8786e-01,-1.0685e+00,2.1384e+00,-1.5349e+00
-4.1189e-01,1.5993e-01,1.8674e+00,1.9128e-01,-1.0953e+00
-3.0536e-01,-1.1003e+00,1.9229e-01,1.4394e+00,3.7570e-01
-4.3108e-01,5.3471e-01,-6.2447e-02,1.3895e+00,-6.4239e-01
-2.9672e-01,-1.0581e+00,-1.4519e+00,3.2857e-01,1.9278e+00
-1.1605e+00,-6.3649e-01,9.7968e-01,-1.0694e+00,2.2073e-01
-1.0415e+00,-1.1612e+00,4.3031e-01,1.0325e+00,-3.6189e-01
-9.5511e-01,-5.6154e-01,1.0646e+00,5.1482e-02,-8.5141e-01
4.8068e-01,4.8786e-01,6.6210e-02,6.4061e-01,-2.5978e-01
2.1771e-01,1.4951e+00,-9.9521e-01,-6.3875e-01,-1.4145e-01
-9.5511e-01,-5.6154e-01,1.0646e+00,5.1482e-02,-1.2315e-02
2.3114e-01,6.7526e-01,-1.7824e-01,-8.5718e-01,-3.3967e-01
-5.6161e-01,3.6137e-01,-7.4026e-02,1.2060e+00,-6.5380e-01
3.0792e-01,-1.6801e-01,3.7499e-01,-1.0569e+00,3.1684e-01
2.1026e+00,-1.4329e+00,7.7383e-01,-1.4813e+00,2.0461e+00
2.1026e+00,8.6265e-01,1.9575e+00,-2.0055e+00,6.8743e-01
-4.3108e-01,5.8156e-01,-6.2447e-02,1.3895e+00,-8.3039e-01
-6.5566e-01,-1.0394e+00,3.9815e-01,1.6242e+00,9.7602e-02
2.1506e+00,6.2841e-01,7.3523e-01,-1.7933e+00,1.6965e+00
4.8068e-01,4.8786e-01,6.7090e-01,5.9069e-01,-2.4236e-01
-1.0357e+00,4.8786e-01,-3.3520e-01,1.0375e+00,-1.7320e+00
-1.2085e+00,5.3471e-01,-1.2332e+00,1.1773e+00,-1.5638e+00
1.0181e+00,-1.1518e+00,-4.4842e-01,8.9024e-01,6.3966e-02
-7.5740e-01,1.1437e+00,-3.9696e-01,3.4105e-01,-7.5231e-01
-1.2958e+00,9.7977e-01,-1.8765e+00,1.2247e+00,-1.8350e-01
-3.6627e-02,-9.8317e-01,1.3461e-02,1.2722e+00,1.1932e+00
1.5844e+00,-9.1758e-01,-7.5313e-02,-7.6980e-01,9.7514e-01
-8.6969e-01,-9.2227e-01,1.4827e+00,3.6103e-01,-4.3877e-01
-2.9672e-01,4.7849e-01,-3.0818e-01,1.0425e+00,-6.6762e-01
-2.8328e-01,3.2390e-01,7.1464e-01,-1.9940e-01,-1.3608e+00
2.1026e+00,-1.9482e+00,-8.8178e-02,9.9010e-01,1.9097e+00
-1.4196e+00,6.7526e-01,-3.0690e-01,2.6617e-01,-2.8501e-01
1.5844e+00,-9.1758e-01,-7.5313e-02,-7.6980e-01,-7.4630e-01
9.4615e-01,-1.2971e+00,2.0771e+00,-2.1053e+00,1.1487e+00
7.1824e-02,-1.9612e-01,-8.3568e-01,6.9678e-01,3.8231e-01
1.6237e+00,8.6265e-01,1.9498e+00,-2.0030e+00,2.1653e-01
9.9894e-01,-1.1050e+00,-8.9872e-01,-7.0837e-02,1.1878e+00
-2.7656e-01,5.7219e-01,-1.7672e+00,5.9568e-01,-1.4265e-01
-1.3400e+00,1.0266e+00,-1.3557e-02,-3.1423e-01,-3.5348e-01
1.8627e+00,-2.2782e-02,-1.5536e+00,9.7664e-02,2.3074e+00
1.3828e+00,-1.4142e+00,-4.7415e-01,3.7475e-01,1.5632e+00
1.0460e+00,-1.6718e+00,-3.6222e-01,-2.2311e-01,2.8981e-01
-6.5662e-01,-1.0441e+00,4.4961e-01,1.6217e+00,-5.6851e-01
-6.4511e-01,-1.2549e+00,1.0376e+00,3.4008e-02,-1.0935e+00
-2.9672e-01,2.7236e-01,-2.0526e-01,1.0924e+00,-6.5200e-01
-9.4935e-01,-5.3343e-01,1.1135e+00,8.7679e-02,4.6399e-01
8.9100e-02,1.9272e-01,3.2610e-01,-8.6591e-01,-1.6428e-01
-1.3045e+00,-2.7467e-02,7.9076e-02,4.7835e-01,-1.3560e+00
6.5343e-01,4.8786e-01,1.0697e+00,4.4091e-01,-1.3004e-01
-1.0837e+00,-2.8009e+00,1.1045e+00,8.0190e-02,-6.9284e-01
-6.4511e-01,5.3268e-03,1.1958e+00,1.4634e-01,5.9674e-01
5.2866e-01,1.9381e-02,1.6914e-01,5.4076e-01,5.4568e-01
2.7913e-01,4.8786e-01,5.0365e-01,7.0302e-01,-1.1133e+00
-1.6567e+00,1.0266e+00,-4.4585e-01,9.4017e-01,-3.9312e-01
4.8068e-01,4.8786e-01,6.6210e-02,6.4061e-01,3.2825e-01
-2.7464e-01,-1.6531e+00,1.9229e-01,1.4394e+00,1.2046e+00
-5.9520e-01,-1.0816e+00,1.3618e+00,2.6492e-01,-5.8413e-01
-2.9672e-01,2.7236e-01,-2.0526e-01,1.0924e+00,-1.3187e+00
4.1062e-01,1.0371e-01,-3.8795e-01,-1.4201e+00,2.3380e+00
8.0305e-04,2.0677e-01,1.6873e+00,4.0526e-03,-1.2779e+00
-5.3666e-01,-2.7467e-02,1.8031e+00,7.4046e-01,-1.4779e+00
7.4941e-01,-1.2924e+00,-3.9696e-01,3.4105e-01,1.9806e+00
-1.1893e+00,4.8786e-01,-4.8187e-01,9.3920e-02,-1.2704e-01
-2.0074e-01,-4.9595e-01,-4.7415e-01,-1.3324e-01,8.4060e-01
5.8625e-01,2.1744e+00,-5.2561e-01,-1.2940e+00,1.2232e+00
-1.0415e+00,-1.1612e+00,4.3031e-01,1.0325e+00,-8.7003e-01
2.2562e+00,-9.1758e-01,-2.2110e+00,3.5354e-01,3.3606e-01
-1.3045e+00,1.1308e-01,-1.7993e+00,1.3271e+00,-3.9733e-01
1.0460e+00,-1.6718e+00,-3.6222e-01,-2.2311e-01,2.3260e+00
-9.3111e-01,1.0266e+00,-1.7567e-01,3.2857e-01,-1.5007e+00
-4.1669e-01,2.1744e+00,-5.2561e-01,-2.2426e+00,2.8528e-02
-6.0192e-01,-1.9108e+00,1.3232e+00,2.3746e-01,1.1854e+00
9.4615e-01,-1.2971e+00,2.0771e+00,-2.1053e+00,6.8023e-01
-6.4415e-01,5.3268e-03,1.1984e+00,1.4759e-01,-1.0773e+00
6.5343e-01,4.8786e-01,9.5395e-01,4.0346e-01,3.8171e-01
2.1026e+00,8.6265e-01,1.9575e+00,-2.0055e+00,-1.5407e-01
4.9987e-01,4.8786e-01,-5.3591e-01,8.6029e-01,3.5468e-01
-1.2219e+00,1.8043e+00,-6.3883e-01,-1.4451e+00,-1.1577e+00
-8.6969e-01,-9.2227e-01,1.4827e+00,3.6103e-01,-1.5812e+00
4.9507e-01,2.1744e+00,-5.2561e-01,-2.2426e+00,2.6999e-01
-1.3141e+00,-1.1050e+00,-3.8409e-01,8.7776e-01,-1.2226e+00
1.5844e+00,-9.1758e-01,-7.5313e-02,-7.6980e-01,1.5193e+00
-8.6969e-01,-9.2227e-01,1.4827e+00,3.6103e-01,2.7719e-01
-6.6142e-01,-1.0581e+00,1.4480e+00,3.2233e-01,7.2347e-01
9.5095e-01,2.1744e+00,-5.2561e-01,-1.2940e+00,1.0406e+00
1.5172e+00,2.0677e-01,-1.1316e+00,-8.2098e-01,2.1172e-01
-2.8328e-01,3.2390e-01,7.1464e-01,-1.9940e-01,7.1775e-02
2.9595e-02,-1.2116e-01,-1.6835e+00,3.4105e-01,-1.3439e+00
1.1429e+00,2.5362e-01,6.7090e-01,-3.5791e-01,-3.3846e-01
4.9507e-01,2.1744e+00,-5.2561e-01,-2.2426e+00,-1.6548e-01
1.5844e+00,-9.1758e-01,-7.5313e-02,-7.6980e-01,-2.4929e-02
1.3828e+00,-1.3158e+00,-1.5536e+00,1.4157e+00,1.4725e+00
-6.3359e-01,-1.2174e+00,5.3324e-01,8.6431e-02,1.2526e+00
8.0305e-04,1.5993e-01,1.6873e+00,4.0526e-03,-8.0096e-01
3.1560e-01,-5.4748e-01,-6.1181e-01,1.1514e-01,1.6127e-01
-2.8328e-01,3.2390e-01,7.1464e-01,-1.9940e-01,5.0664e-01
1.0335e+00,-1.1097e+00,-1.5536e+00,1.8975e+00,-4.6100e-01
1.4285e-01,1.9272e-01,1.5252e+00,-5.4611e-02,-1.2574e+00
-6.5662e-01,-1.0441e+00,4.4961e-01,1.6217e+00,4.0693e-01
9.9894e-01,2.0677e-01,-8.8178e-02,-1.3324e-01,-1.7722e+00
-3.7587e-02,4.4102e-01,-6.2447e-02,1.0275e+00,-2.7179e-01
-1.1125e+00,-3.0387e-01,4.2388e-01,-3.3794e-01,6.3758e-01
-4.5220e-01,7.6427e-01,-3.3263e-01,9.8011e-01,-8.1898e-01
2.0163e+00,9.0950e-01,-1.9408e+00,-9.3206e-01,1.5668e+00
1.6204e-01,9.2355e-01,-1.2152e+00,-1.4775e+00,1.0658e+00
-5.5822e-02,-1.0347e+00,1.0389e+00,4.7738e-02,1.2659e+00
-1.6567e+00,1.0266e+00,-4.4585e-01,9.4017e-01,-9.1208e-01
7.8396e-01,-7.8172e-01,-3.6222e-01,-2.2311e-01,2.6143e+00
-1.1893e+00,4.8786e-01,-4.8187e-01,9.3920e-02,-1.5668e+00
2.7913e-01,4.8786e-01,-3.6715e-02,9.5265e-01,9.3398e-02
2.1026e+00,8.6265e-01,1.9575e+00,-2.0055e+00,9.1688e-01
4.7588e-01,6.2372e-01,-2.0824e+00,3.5728e-01,1.2520e+00
9.5095e-01,2.1744e+00,-5.2561e-01,-2.2426e+00,2.9942e-01
3.1752e-01,-1.2116e-01,-1.3362e+00,-1.0444e+00,6.2797e-01
-1.2027e+00,-6.0261e-02,6.3230e-01,-9.4829e-01,9.5200e-02
2.4865e+00,-4.0225e-01,1.9575e+00,-2.0055e+00,1.0112e+00
2.4865e+00,-4.0225e-01,1.9575e+00,-2.0055e+00,2.3062e+00
1.4068e+00,2.1744e+00,-5.2561e-01,-2.2426e+00,4.7601e-01
5.5746e-01,7.2211e-01,-6.2447e-02,9.1423e-02,-1.3548e+00
-8.7257e-01,2.1744e+00,-5.2561e-01,-1.2940e+00,6.7001e-01
1.3732e+00,-6.3649e-01,-1.9408e+00,-2.9550e-01,2.3176e+00
6.6303e-01,1.0032e+00,1.4747e-02,1.6534e-02,-2.6579e-01
9.1256e-01,1.5466e+00,3.9429e-01,-1.4073e-01,4.3757e-01
2.0235e-01,1.0032e+00,1.4747e-02,5.4076e-01,-1.0598e+00
3.0792e-01,-1.6801e-01,-1.3619e+00,6.2813e-01,5.1745e-01
1.4477e-01,4.8786e-01,1.4428e+00,-1.0828e-01,-8.4841e-01
-1.1202e+00,-1.8097e-02,-1.5896e+00,9.0272e-01,-1.2424e+00
-1.1739e+00,-3.0387e-01,-2.5157e-01,-6.7370e-01,-4.8622e-01
-1.0895e+00,-2.8513e-01,4.3031e-01,-3.3794e-01,1.0742e+00
1.0181e+00,-1.1518e+00,-4.4842e-01,8.9024e-01,6.5500e-01
1.4068e+00,2.1744e+00,-5.2561e-01,-2.2426e+00,3.4627e-01
-6.4703e-01,-1.2643e+00,1.0221e+00,2.2775e-02,9.4030e-01
-3.2743e-01,-1.7936e+00,1.4660e+00,3.3981e-01,1.4743e+00
1.6396e-01,2.0677e-01,-1.2075e+00,5.1580e-01,4.1234e-01
-1.2104e+00,5.4877e-01,-1.2307e+00,1.1736e+00,-1.5638e+00
2.3426e+00,3.4732e-01,1.9575e+00,-2.0055e+00,1.3818e+00
7.8396e-01,-7.8172e-01,-3.6222e-01,-2.2311e-01,2.4942e+00
1.0335e+00,-1.1097e+00,-1.5536e+00,1.8975e+00,1.3109e+00
-7.5740e-01,1.1437e+00,-3.9696e-01,3.4105e-01,-1.5572e+00
-1.2661e+00,6.6230e-02,-2.5543e-01,7.8942e-02,-7.3609e-01
-1.2277e+00,4.8786e-01,-1.0917e+00,2.1147e+00,-5.6791e-01
-5.6161e-01,3.6137e-01,-7.4026e-02,1.2060e+00,2.9642e-01
-8.6585e-01,-9.1290e-01,1.5072e+00,3.7850e-01,-2.6130e-02
3.0504e-01,-1.6333e-01,3.4540e-01,6.0566e-01,-6.4119e-01
-4.1093e-01,2.3957e-01,-2.9532e-01,9.1521e-01,-9.5172e-01
-6.4511e-01,-1.2549e+00,1.0376e+00,3.4008e-02,8.5922e-01
5.5746e-01,1.5993e-01,1.2370e+00,-2.4558e-01,-2.3635e-01
-6.6142e-01,1.0266e+00,7.0280e-03,-2.9550e-01,-1.2460e+00
-6.4511e-01,-1.2549e+00,1.0376e+00,3.4008e-02,2.6278e-01
-1.1605e+00,1.0032e+00,-1.8508e+00,-7.9477e-01,-1.7629e-01
1.4477e-01,4.8786e-01,1.4428e+00,-1.0828e-01,-3.8351e-01
-4.3345e-02,-9.3055e-02,-1.3220e+00,-6.7092e-02,5.1084e-01
-1.5828e+00,4.8786e-01,-8.1123e-01,1.4756e+00,-2.8561e-01
-1.1586e+00,1.0126e+00,-1.8546e+00,-7.9851e-01,-2.7932e-02
-6.4511e-01,5.3268e-03,1.1958e+00,1.4634e-01,9.0066e-01
-1.2066e+00,5.7219e-01,-1.1998e+00,-9.3831e-01,-4.0754e-01
-6.4511e-01,-1.2549e+00,1.0376e+00,3.4008e-02,6.5260e-01
3.3767e-01,1.9272e-01,5.3345e-02,-1.0531e+00,1.7569e-01
-6.6046e-01,-6.0261e-02,1.0903e+00,7.0205e-02,-9.4603e-02
-8.6585e-01,-9.1290e-01,1.5072e+00,3.7850e-01,-5.6310e-01
-7.9003e-01,4.8786e-01,7.1357e-02,6.4685e-01,-4.6580e-01
-4.1093e-01,2.3957e-01,-2.9532e-01,9.1521e-01,2.2914e-01
1.0757e+00,4.8786e-01,-4.1497e-01,1.4884e-01,2.2974e-01
-4.1669e-01,2.1744e+00,-5.2561e-01,-2.2426e+00,-3.4207e-01
7.8396e-01,-7.8172e-01,-3.6222e-01,-2.2311e-01,2.1338e+00
-8.2746e-01,-5.3343e-01,3.2353e-01,1.5992e+00,-1.4172e+00
-3.5667e-02,-9.7849e-01,1.1431e+00,1.1015e-01,1.8725e+00
-1.5194e+00,1.0266e+00,-1.8853e-01,3.2982e-01,-1.5527e-01
1.4068e+00,2.1744e+00,-5.2561e-01,-2.2426e+00,9.9404e-02
2.7913e-01,4.8786e-01,5.0365e-01,7.0302e-01,-1.4370e+00
-2.4873e-01,3.4732e-01,-6.9287e-01,-3.0799e-01,-1.1863e-01
-7.5977e-02,1.3311e+00,-8.8585e-01,-1.1692e+00,8.3788e-02
2.0163e+00,1.3311e+00,-1.1689e+00,-9.3206e-01,1.1878e+00
4.9507e-01,2.1744e+00,-5.2561e-01,-2.2426e+00,1.1682e-01
5.8625e-01,2.1744e+00,-5.2561e-01,-1.2940e+00,9.8175e-01
3.0696e-01,-1.8675e-01,-7.2375e-01,-1.7693e-01,1.0016e+00
-6.6046e-01,-6.0261e-02,1.0903e+00,7.0205e-02,2.3034e-01
-1.2497e+00,-6.9740e-01,1.3078e+00,-1.1942e+00,-1.3403e+00
-8.2746e-01,-7.4893e-01,4.3160e-01,1.6504e+00,9.3999e-02
-1.4316e-01,2.1744e+00,-5.2561e-01,-1.2940e+00,1.0292e+00
-3.7587e-02,4.2228e-01,-3.3906e-01,-1.3489e+00,4.6880e-01
-6.5566e-01,-1.0394e+00,3.9815e-01,1.6242e+00,7.1867e-01
-1.3400e+00,1.0266e+00,-1.3557e-02,-3.1423e-01,-1.8587e+00
6.6303e-01,2.0677e-01,9.9254e-01,-4.5874e-02,-8.9197e-02
1.1602e+00,-1.6016e+00,-3.3520e-01,9.7886e-01,2.3861e+00
3.1080e-01,-1.4459e-01,3.7370e-01,-1.0606e+00,6.1564e-02
-1.0616e+00,1.9272e-01,6.9149e-01,-6.1628e-01,-1.5043e+00
-7.9003e-01,4.8786e-01,7.1357e-02,6.4685e-01,3.5708e-01
-2.9672e-01,1.9381e-02,1.6358e+00,5.7820e-01,-8.9526e-01
-1.3045e+00,9.5635e-01,-1.9151e+00,1.1898e+00,-1.5157e+00
7.7583e-02,6.2841e-01,-6.2854e-01,-1.7069e-01,6.2857e-01
-5.9520e-01,-1.0816e+00,1.3618e+00,2.6492e-01,-1.2274e+00
-4.8867e-01,6.5183e-01,7.2751e-01,-1.8816e-01,-9.4271e-01
-1.0751e+00,-1.0909e+00,1.3888e+00,2.8114e-01,-2.7960e-01
4.9507e-01,2.1744e+00,-5.2561e-01,-2.2426e+00,3.1684e-01
1.3828e+00,-1.3158e+00,-1.5536e+00,1.4157e+00,-1.4265e-01
5.5746e-01,7.2211e-01,-6.2447e-02,9.1423e-02,1.8710e-01
3.1080e-01,-1.4459e-01,-1.3593e+00,6.2813e-01,3.0963e-01
-9.4935e-01,-5.3343e-01,1.1135e+00,8.7679e-02,-2.7059e-01
-4.9155e-01,6.3778e-01,7.1078e-01,-2.0065e-01,-2.6579e-01
-2.5833e-01,7.6895e-01,-6.2447e-02,1.1149e+00,-3.5949e-01
2.0163e+00,1.3311e+00,-1.1689e+00,-9.3206e-01,-6.1056e-01
-6.0192e-01,-1.9108e+00,1.3232e+00,2.3746e-01,1.6671e+00
-8.7257e-01,2.1744e+00,-5.2561e-01,-1.2940e+00,8.9405e-01
-1.1125e+00,-3.0387e-01,4.2388e-01,-3.3794e-01,1.1559e+00
-4.7139e-01,-3.5541e-01,1.0749e+00,6.0220e-02,6.0454e-01
-7.9003e-01,4.8786e-01,7.1357e-02,6.4685e-01,1.3785e-01
-1.1221e+00,7.2211e-01,-1.5251e-01,-1.6560e+00,-5.1325e-01
5.5746e-01,7.2211e-01,-6.2447e-02,9.1423e-02,-8.8925e-01
-2.9672e-01,2.7236e-01,-2.0526e-01,1.0924e+00,-3.9372e-01
3.5591e-01,1.3311e+00,-1.4391e+00,-4.5777e-01,2.5737e-01
-1.0309e+00,-7.8641e-01,4.2902e-01,2.4744e-01,1.0809e+00
7.8396e-01,-7.8172e-01,-3.6222e-01,-2.2311e-01,1.2088e+00
-7.7659e-01,4.8786e-01,-9.5898e-02,4.0596e-01,-1.1175e+00
1.3732e+00,-6.3649e-01,-1.9408e+00,-2.9550e-01,-2.2014e-01
6.7985e-02,4.8786e-01,-5.2561e-01,-6.9741e-01,-1.1812e+00
